"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P_value_study_count","AdjP_value_study_count"
"4078","STON1",0,"",0,"",0,0,0,0,0,0,0,0,0
"4079","RP13-516M14-10",0,"",0,"",0,0,0,0,0,0,0,0,0
"4080","POP7",4,"goschEighteenHrMain goschThreeHrMain goschTwentyoneHrMain obermoser4BaselineVSfortyEightAll",0,"",0,0,3,1,0,0,0,2,0
"4081","CTD-2049O4",0,"",0,"",0,0,0,0,0,0,0,0,0
"4082","RP11-589C21",0,"",0,"",0,0,0,0,0,0,0,0,0
"4083","RP11-47A8",0,"",0,"",0,0,0,0,0,0,0,0,0
"4084","PAGR1",6,"obermoser1BaseVStenALL obermoser1BaseVStwentyEightALL obermoser3BaselineVSpoint5All obermoser3BaselineVStenAll obermoser3BaselineVStwentyEightAll obermoser4BaselineVSnineAll",0,"",0,0,0,6,0,0,0,1,0
"4085","SDC3",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain rusch",2,"goschNineHrMain goschTwelveHrMain",0,0,3,0,0,1,0,2,1
"4086","SIAE",0,"",0,"",0,0,0,0,0,0,0,0,0
"4087","SCAMP5",7,"goschSixHrMain goschTwentyoneHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSsevenALL obermoser4BaselineVSthreeAll rusch larocca",2,"goschSixHrMain obermoser1BaseVSsevenALL",0,0,2,3,0,1,1,4,2
"4088","COL6A1",7,"meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain rusch",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",0,1,5,0,0,1,0,3,1
"4089","TRGV5",0,"",0,"",0,0,0,0,0,0,0,0,0
"4090","AC012442",0,"",0,"",0,0,0,0,0,0,0,0,0
"4091","NBL1",8,"meaburn2 obermoser3BaselineVStenAll obermoser3BaselineVSthreeAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVStwelveAll rusch",1,"obermoser4BaselineVSfifteenAll",0,1,0,6,0,1,0,3,1
"4092","VASH1",4,"meaburn1 obermoser2BaselineVSsevenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSone",0,"",0,1,0,3,0,0,0,2,0
"4093","OCRL",9,"goschEighteenHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSthreeALL obermoser1BaseVStwentyEightALL obermoser2BaselineVSsevenAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll",0,"",0,0,1,8,0,0,0,2,0
"4094","COCH",5,"goschSixHrMain goschTwelveHrMain obermoser3BaselineVSoneAll obermoser3BaselineVStenAll obermoser3BaselineVSthreeAll",2,"goschSixHrMain goschTwelveHrMain",0,0,2,3,0,0,0,2,1
"4095","EEF1B2P3",0,"",0,"",0,0,0,0,0,0,0,0,0
"4096","RP11-156K23",0,"",0,"",0,0,0,0,0,0,0,0,0
"4097","APC2",1,"rusch",0,"",0,0,0,0,0,1,0,1,0
"4098","TCOF1",5,"meaburn2 goschNineHrMain goschSixHrMain goschTwelveHrMain dusek",2,"goschNineHrMain goschTwelveHrMain",0,1,3,0,1,0,0,3,1
"4099","WNT16",8,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser3BaselineVStenAll obermoser3BaselineVSzeroAll obermoser4BaselineVSone obermoser4BaselineVSsixAll",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,4,4,0,0,0,2,1
"4100","ZSCAN9",6,"meaburn1 goschEighteenHrMain obermoser1BaseVSthreeALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL rusch",0,"",0,1,1,3,0,1,0,4,0
"4101","EIF5AL1",0,"",0,"",0,0,0,0,0,0,0,0,0
"4102","MPC2",10,"meaburn2 goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser2BaselineVSzeroAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll rusch",3,"goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll",0,1,4,4,0,1,0,4,2
"4103","CLDND2",6,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser4BaselineVSfifteenAll",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll",0,0,4,2,0,0,0,2,2
"4104","SUDS3",11,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwentyFourAll obermoser4BaselineVSzeroAll rusch",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,5,5,0,1,0,3,1
"4105","BCL2",13,"meaburn2 goschFifteenHrMain goschNineHrMain goschThreeHrMain goschTwelveHrMain obermoser3BaselineVSpoint5All obermoser3BaselineVStenAll obermoser3BaselineVStwentyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll rusch",5,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser4BaselineVSsixAll obermoser4BaselineVStwelveAll",0,1,4,7,0,1,0,4,2
"4106","ZNF786",9,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSsevenALL obermoser1BaseVSzeroALL obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",2,"goschTwelveHrMain obermoser1BaseVSsevenALL",0,0,2,7,0,0,0,2,2
"4107","CDYL2",4,"goschEighteenHrMain goschSixHrMain goschTwelveHrMain rusch",2,"goschSixHrMain goschTwelveHrMain",0,0,3,0,0,1,0,2,1
"4108","CACNA1A",1,"rusch",0,"",0,0,0,0,0,1,0,1,0
"4109","DTD2",6,"meaburn2 goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSzeroALL rusch",2,"goschNineHrMain goschTwelveHrMain",0,1,3,1,0,1,0,4,1
"4110","RUFY4",0,"",0,"",0,0,0,0,0,0,0,0,0
"4111","SPATA24",2,"obermoser4BaselineVSsixAll rusch",0,"",0,0,0,1,0,1,0,2,0
"4112","ZMYND15",15,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschThreeHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll",7,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSone obermoser4BaselineVSsixAll",0,0,6,9,0,0,0,2,2
"4113","GSTM1",1,"obermoser4BaselineVSnineAll",0,"",0,0,0,1,0,0,0,1,0
"4114","DUX4L37",0,"",0,"",0,0,0,0,0,0,0,0,0
"4115","HNRNPA1P21",0,"",0,"",0,0,0,0,0,0,0,0,0
"4116","AC104653",1,"goschThreeHrMain",0,"",0,0,1,0,0,0,0,1,0
"4117","AC010761-13",0,"",0,"",0,0,0,0,0,0,0,0,0
