"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","P_value_study_count","AdjP_value_study_count"
"467","NLRP1",15,"gomez meaburn1 meaburn2 goschTwelveHrMain obermoser1BaseVSzeroALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll karlovich_14d",3,"obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",1,2,1,10,0,0,0,1,5,2
"468","CYP4V2",7,"gomez goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVStwelveAll",2,"goschNineHrMain goschTwelveHrMain",1,0,2,4,0,0,0,0,3,1
"469","P2RX5-TAX1BP3",2,"gomez goschThreeHrMain",0,"",1,0,1,0,0,0,0,0,2,0
"470","PDIA5",7,"gomez obermoser1BaseVSsevenALL obermoser2BaselineVSsevenAll obermoser3BaselineVSsevenAll obermoser4BaselineVStwelveAll dusek larocca",0,"",1,0,0,4,1,0,1,0,4,0
"471","NOD1",4,"gomez obermoser2BaselineVSsevenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",1,"obermoser4BaselineVSnineAll",1,0,0,3,0,0,0,0,2,1
"472","AC005522",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"473","TMEM57",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"474","EPS15L1",11,"gomez meaburn1 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll rusch",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,1,5,3,0,1,0,0,5,1
"475","AL109767",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"476","R3HDM1",5,"gomez obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVStwentyOneALL obermoser3BaselineVStwentyEightAll",0,"",1,0,0,4,0,0,0,0,2,0
"477","ZNF777",4,"gomez goschNineHrMain goschTwelveHrMain obermoser1BaseVStwentyOneALL",1,"goschNineHrMain",1,0,2,1,0,0,0,0,3,1
"478","TMEM251",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"479","MBNL1-AS1",4,"gomez meaburn2 goschNineHrMain goschTwentyoneHrMain",0,"",1,1,2,0,0,0,0,0,3,0
"480","BRK1",6,"gomez meaburn2 goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll karlovich2",1,"goschTwelveHrMain",1,1,2,1,0,0,0,1,5,2
"481","RP11-53B2",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"482","ZBTB21",9,"gomez meaburn2 goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser2BaselineVSsevenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll rusch",2,"meaburn2 goschTwelveHrMain",1,1,3,3,0,1,0,0,5,2
"483","FBXO44",10,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschThreeHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser3BaselineVSpoint5All obermoser3BaselineVSsevenAll obermoser3BaselineVSzeroAll",3,"goschEighteenHrMain goschNineHrMain goschTwelveHrMain",1,0,6,3,0,0,0,0,3,1
"484","PHACTR2",3,"gomez obermoser2BaselineVSsevenAll obermoser3BaselineVStenAll",0,"",1,0,0,2,0,0,0,0,2,0
"485","SEMA4C",4,"gomez goschNineHrMain goschSixHrMain goschTwelveHrMain",2,"goschNineHrMain goschTwelveHrMain",1,0,3,0,0,0,0,0,2,1
"486","SLC25A5-AS1",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
