"","Symbol","Within Variation (SD)","Total Variation (SD)","Rs","subject","time","repeatability","gen.variance","Average Expression","OVERALL_RP","OVERALL_RANK"
"7243","GPR22","11201.2128961597","11431.9514600716","7362.69886232961","8750.32084503808","8740.75888768109","6283.05047242041","7624.18440796929","1358.36617937737",6822.16230614342,11586
"16156","PPP1R17","14189.0110065582","14945.4520634429","2593.72982905182","8844.62112862499","7334.19547250115","8464.27714304387","13799.9447377749","1125.95636207522",6822.2212808986,11587
"5583","ENHO","10842.9383180767","10834.0279968309","8467.69386486485","7625.70857076672","7312.65884153772","10848.7729787082","12494.2319974044","624.195270308501",6822.34273472272,11588
"7607","HAVCR2","4253.02693347416","6360.21485758403","4735.48258778485","8709.43112555006","7037.28055086082","8594.38522081988","7343.87822521359","9474.35841209537",6822.63855085934,11589
"10940","LOC101929545","10542","15869","102","15123","8059.49999999999","16361","16342","8445.00000000001",6822.86357504927,11590
"19060","RUVBL2","4263.78429610912","3467.15925360625","9421.03826824571","8096.30865695291","7802.39878522546","7064.39699712949","5991.06973541517","12612.5711285834",6822.92756315098,11591
"13547","MPP3","15560","14476","14993","2105","8059.49999999999","8314","14071","701",6823.30820611515,11592
"17340","RNF122","9494.8796857083","7002.07557614714","9865.8233658468","4808.93054954485","7544.05707968707","4977.9687227746","5712.99305972118","6944.26217582473",6823.47538827447,11593
"17183","RHAG","10512.2597137944","8865.69363346254","7091.42152332105","7282.20552392831","7701.14321806359","6104.11049400297","6994.36814053005","2970.8257705465",6823.79602161695,11594
"4930","DLGAP1-AS2","14322.6623223478","7591.46356113233","16038.3719560309","3642.57436437473","15642.3302611855","2582.63954124458","4242.24174228673","4319.36106386119",6823.97249575376,11595
"21469","TEX10","4841.74991645796","4393.74459823413","10055.1496887512","7373.98739451122","9648.5471682912","6772.64232159089","6050.42580742507","7541.79948544404",6824.19039091582,11596
"2529","C9orf3","5889.78758165607","5219.42962602786","9104.80729084919","7369.35439506977","7994.16729800276","8562.87204121143","7267.23558026615","4584.40536886766",6824.30576268024,11597
"11836","LTR14B.ERVK.LTR","4482","3791","10798","10175","9587.00000000001","7445","5552","6359",6824.34754599445,11598
"2782","CBX4","4410.90196214302","4540.00171798312","9667.43301139674","5264.34429895388","8426.92803354181","6899.63063102549","6303.50325637685","12596.2645917657",6824.48243377738,11599
"22151","TOMM40","4950.1756979719","5065.3353423593","7588.00830901747","6989.29014712622","7353.77508568851","6885.00029535347","5723.33603691277","12211.0483586622",6824.57755241667,11600
"20375","SNORD22","12006.4631024605","9208.05145094157","14278.5105052173","3707.00236772426","9094.43875219906","4558.37806586774","5521.84203289265","3513.40745995161",6824.73695914176,11601
"6646","FTH1P16","9606.99999999999","8799","8277.99999999999","7442","5771","6775","9334","2477",6824.93935443128,11602
"3637","CKAP5","5969.98611754659","5570.74773868707","10143.3297978204","7276.41303472902","9929.96155800441","5390.22357964438","5430.40696376246","6598.40170008187",6824.97826029644,11603
"1768","BAI1","10280","8838","9840.99999999999","1615","8059.49999999999","8210.00000000001","9145","5389",6825.15867530737,11604
"4501","CYB5D2","6194.93658454888","5094.82936859948","9961.72015550539","6776.26337734889","9268.65803476493","5398.61080281283","4711.98333682916","9380.60142229437",6825.79206149585,11605
"5621","EOLA1","6609.72631755503","5321.17781516753","9155.22529413184","6520.37833341109","8007.48327439778","6351.96867237419","5898.41543283808","7481.05742773277",6825.81442429508,11606
"15561","PHEX","16109.0120228629","15156.0367508968","12433.7740073927","4136.39702159949","7290.70337929529","5760.54714270467","8580.62128953616","1041.77731468068",6826.14983866057,11607
"11253","LOC102724501","13323","15381","1527","2776","8059.49999999999","13403","15223","3301",6826.33541121802,11608
"3930","COQ10B","4240.1281329311","4728.73037953268","8331.29370847671","5873.86461611885","9824.19635787013","5818.85980695895","5741.5985502673","14643.4326337306",6826.47209870077,11609
"22262","TRAF4","6509.97885648973","6858.27594830522","6097.42704031008","6539.9155023213","9633.59089998675","7177.78950055479","7275.65234227439","5266.12766602437",6826.63904420578,11610
"15070","P4HB","4747.80179240577","5326.55408956064","7641.93094338242","7554.06881320664","9154.29419622325","6422.96125030094","5138.19790973776","10698.2758013998",6826.93816195674,11611
"23714","ZBED3","7950.09885232021","7414.08975630977","9657.43426280873","5644.73314824092","8838.40858270887","6720.67979703494","6375.34139168077","3879.27005690102",6827.26932392662,11612
"7105","GOLGA2P7","8327","7969.00000000001","8645.00000000001","10625","3432.5","10033","10067","2234",6827.33739451548,11613
"17416","RNF5","3110.37567275171","3152.70393371647","6702.82290991757","9714.20672570873","8879.33200428456","9229.42453740878","6934.19182693221","13017.1011226472",6827.7603821903,11614
"2373","C21orf2","8475.34434331878","7860.61297299819","7049.4421290738","5058.09923136747","8323.00675610729","5272.40399426704","5424.35272101235","8360.74085113843",6828.56871580618,11615
"20154","SMG5","2154.17542396066","3532.72354994043","5211.52074912111","12905.4655494782","7892.02613217918","12082.105024001","8063.48221893085","12016.4034830566",6828.80388455595,11616
"17996","RP11-421E14.2","12451","10791","12321","2957","12312","3015","7289","3571",6828.96074767062,11617
"3352","CEP85","5499.71951868031","4449.93698470175","8387.42250441469","6576.07966851241","8195.37864155423","6808.89740966546","6204.55407874602","10126.629274476",6829.50002685261,11618
"15304","PCGF6","9762.94899760842","7950.15777384","11110.7067108505","5183.89179619657","7437.94631521157","4706.39732737129","5178.26120517598","5844.53916680529",6830.12700435573,11619
