"","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","Study_counts"
"108","KDM7A",5,"rusch.vp karlovich1.vp meaburn2.rp rusch.rp karlovich1.rp",0,1,0,0,0,2,0,2,3
"109","AGK",3,"meaburn2.vp meaburn1.rp meaburn2.rp",0,3,0,0,0,0,0,0,1
"110","ALDH3B1",8,"gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp obermoser1.rp obermoser2.rp obermoser4.rp",0,0,1,7,0,0,0,0,2
"111","TTC22",6,"dusek.vp larocca.vp karlovich1.vp meaburn2.rp dusek.rp karlovich2.rp",0,1,0,0,2,0,1,2,4
"112","PHTF2",3,"meaburn2.vp meaburn1.rp meaburn2.rp",0,3,0,0,0,0,0,0,1
"113","FARP2",3,"meaburn2.vp meaburn2.rp obermoser4.rp",0,2,0,1,0,0,0,0,2
"114","GGCT",1,"obermoser1.vp",0,0,0,1,0,0,0,0,1
"115","DBF4",3,"gosch.vp meaburn1.vp meaburn1.rp",0,2,1,0,0,0,0,0,2
"116","TBXA2R",4,"dusek.vp gosch.rp rusch.rp larocca.rp",0,0,1,0,1,1,1,0,4
"117","IFRD1",15,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp karlovich1.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp karlovich1.rp",0,3,1,7,0,1,1,2,6
"118","COX10",1,"obermoser4.vp",0,0,0,1,0,0,0,0,1
"119","PAF1",0,"",0,0,0,0,0,0,0,0,0
"120","VPS41",9,"gosch.vp obermoser2.vp obermoser3.vp obermoser4.vp rusch.vp meaburn2.rp obermoser3.rp obermoser4.rp rusch.rp",0,1,1,5,0,2,0,0,4
"121","ELAC2",0,"",0,0,0,0,0,0,0,0,0
"122","ARSD",7,"meaburn2.vp obermoser2.vp obermoser4.vp karlovich1.vp obermoser2.rp obermoser4.rp karlovich1.rp",0,1,0,4,0,0,0,2,3
"123","PNPLA4",0,"",0,0,0,0,0,0,0,0,0
"124","ADIPOR2",2,"obermoser1.vp karlovich2.rp",0,0,0,1,0,0,0,1,2
"125","PRSS21",8,"obermoser1.sd gosch.vp obermoser1.vp gomez.rp gosch.rp obermoser1.rp obermoser3.rp larocca.rp",1,0,2,4,0,0,1,0,4
"126","MARK4",4,"dusek.vp larocca.vp karlovich2.vp dusek.rp",0,0,0,0,2,0,1,1,3
"127","CCDC124",2,"obermoser1.vp gosch.rp",0,0,1,1,0,0,0,0,2
"128","CEACAM21",11,"gomez.sd meaburn1.sd meaburn2.sd gomez.vp meaburn1.vp meaburn2.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp larocca.rp",3,6,0,0,0,0,2,0,3
"129","PAFAH1B1",3,"meaburn1.vp rusch.vp meaburn1.rp",0,2,0,0,0,1,0,0,2
"130","KIAA0100",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"131","GAS7",16,"meaburn2.sd gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp rusch.vp karlovich2.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp rusch.rp karlovich1.rp karlovich2.rp",0,4,1,6,0,2,0,3,5
"132","TRAPPC6A",0,"",0,0,0,0,0,0,0,0,0
