"","ThreeHrMain","SixHrMain","NineHrMain","TwelveHrMain","FifteenHrMain","EighteenHrMain","TwentyoneHrMain","AveExpr","F","P.Value","adj.P.Val"
"LCN8",0.279327628514456,-0.381606365400287,-0.865956060425162,-0.428481730388813,-0.141567953363404,-0.358168081382147,-0.96446235313431,-2.46734942059551,1.48239204353571,0.188076827744386,0.26733661143996
"RP11.355N15.1",0.444467726314655,0.188282560086583,0.492108358898844,0.10708973314442,-0.00785570185181372,0.086367565162129,-0.00772865630910125,-0.801134994762663,1.4822156246892,0.188139652471497,0.267402720003067
"PXN.AS1",0.0834907152668561,-0.269530313189915,-0.39132938825237,-0.122084439112547,-0.287920618808895,-0.220717713524524,0.018770393609774,-0.4018111098575,1.48216189199925,0.188158790949234,0.267406731257978
"TEX30",-0.170206670336756,0.0327477580408196,-0.222311167223973,-0.128174309066391,-0.0805081117500392,-0.096870864826174,-0.0291379051238928,1.54123719777561,1.48203056825169,0.18820557296736,0.267450024743091
"LINC00847",-0.0382592879971666,-0.0686677446680743,-0.120196120489058,-0.0729535486878028,-0.0727664307314577,-0.0315222324093698,-0.0769896410213011,4.3738332360857,1.4819054317469,0.188250160391214,0.267490192357517
"SNORD10",0.0273392943346233,0.0544075917483662,0.103376975329577,0.250617173072546,0.0624578197250527,-0.0222278271752083,0.0333196717434587,2.41889707789689,1.48163143330357,0.188347821281252,0.267605760119501
"LRP6",0.0151233303404883,-0.111468820140811,-0.15768214266088,-0.113260445634616,-0.0801865498027905,-0.00891883757438228,0.119926368495217,2.23391208586757,1.48148985271979,0.188398302104146,0.267654279922404
"FCHSD2",0.00217194829994449,0.0430553155505558,0.0691362018525026,0.0385170175501441,-0.00718552553181295,0.0481234246881272,0.0556547564252727,6.83089624984054,1.48140616127821,0.18842814803704,0.267673478216092
"C1QBP",0.0070798578192135,-0.0386407113470026,-0.068927456420917,-0.104565684328091,-0.0515327356299111,-0.0327872356146757,0.0165549084110572,4.6188175870168,1.48131893106044,0.188459260386718,0.267694472046969
"HSD17B7P2",-0.113046065968415,0.0256560844529825,-0.0679132507951766,-0.0537340386872558,0.0459336610535263,-0.0775738793089611,0.12979981934238,1.99072379564639,1.48097513192524,0.188581926988605,0.267845497999502
"MS4A3",0.120605395622163,0.243905629393934,0.168821826612675,0.20540140781006,0.0582499847900773,0.1779817410907,0.137127506135227,2.56389858348347,1.48025403241652,0.188839441292689,0.268188007222346
"CATSPERB",0.332221752875841,0.262286382101721,0.112623805648116,0.258922272875004,0.177096322289952,0.26253866542303,0.227757340278626,0.606464649252005,1.47975930155364,0.189016294981894,0.268411223916425
"PPP1R13L",0.0187168971398618,-0.0956386411774095,-0.241557945945904,-0.127139743674164,-0.00586024434130439,0.0172864510910272,-0.00779426817393125,1.64410322481101,1.47972274136091,0.189029370092341,0.268411223916425
"UBQLN4",-0.0360000921271504,-0.106173425245569,-0.0664050074650739,-0.0701178445432187,-0.0592366910041711,-0.0115008185899383,0.025159072582237,4.70789128037749,1.47960401975818,0.189071834267014,0.268448262306341
"RBMX2",-0.00228342000022241,-0.0859818534179271,-0.153643129867757,-0.103893245414218,-0.0716280385514754,-0.105096042639285,-0.0677257794943933,3.03623772944958,1.47861762407833,0.189424971039032,0.268926355713677
"SPRED1",-0.035392850376551,-0.107367600951116,-0.314707404438319,-0.0909719080858531,-0.0228870412915674,-0.0945138017006637,-0.0404755669572492,3.51395141481306,1.478553809919,0.189447836907065,0.268935521790376
"PLRG1",0.00896096350179176,-0.0765593747442339,-0.080074725468557,-0.0588725051601129,-0.039065960797541,-0.00718885019555504,0.0161865041122073,4.80891791971279,1.47848215028071,0.189473516853923,0.268948680730897
"ZDHHC16",-0.0526275945580994,-0.134973361425694,-0.0898912858546748,-0.0980416731534792,-0.0737085229481957,-0.0106819259838655,-0.00322963915778063,3.9827522123926,1.47837118573125,0.189513288140238,0.268981837648772
"ANKRD11",0.0200507285054767,0.0632852065355598,-0.00242554833778064,-0.00543345771026882,-0.0334693918803386,0.00343943116384571,-0.0442352877345429,7.03660340741059,1.47817226285477,0.18958460330453,0.269059189716915
"FAM178B",0.0233442401673463,0.0472586930278566,-0.152042383861668,-0.109354251564261,-0.0614642902784097,0.0565111693775853,-0.331326406531487,-0.0195786361290125,1.47812759218949,0.189600621272844,0.269059189716915
"CLASRP",-0.0385036016889333,0.0295028837152755,0.00385510921429644,0.0466178506422805,-0.0310647807850875,-0.027519752358669,-0.0623568702431947,6.38418520949816,1.47754475889409,0.189809722059122,0.269332600417917
"MTMR4",-0.0175051099903647,-0.000767156212636788,0.0604633960344163,0.0356743225559804,0.0408119071399793,-0.0121203754205261,-0.00708614393997342,6.48648627876517,1.47744189220583,0.189846648146672,0.269346203326185
"LOC102724259",0.18402438608952,0.135560835628979,-0.154133127914087,-0.0397971600510539,0.146282318029868,0.167589258683915,0.214386807347017,0.222597139464008,1.47735820934713,0.189876692461163,0.269346203326185
"PGM2L1",0.00820543505763949,0.0441375558826484,0.0762555768292028,0.056357265250194,0.105864142477033,0.0963963551049307,0.124042388787678,5.24131947591836,1.47734892359565,0.189880026543828,0.269346203326185
"OSBPL9",-0.0540235640467461,-0.0147175785566365,0.0336123688690457,0.0189112938785803,-0.0564497137113165,-0.00952866851441936,-0.024449210607278,5.34267933628616,1.4773349417452,0.189885046874778,0.269346203326185
"DZIP1L",-0.0654519875607298,-0.0254304235885456,0.285169301876108,0.438852342317046,0.250655643293429,-0.00393736162381789,0.0919887210512821,-0.1079214015281,1.47719437654121,0.189935524769818,0.269394488572267
"LOC101928391",0.121233550329263,1.00861896289649,0.949423309156279,0.934581436740469,0.011401647885275,0.576913244893823,0.305444389702878,-3.63405772358338,1.47652644459001,0.190175544567109,0.269711578393073
"COPA",0.0138670183985301,0.0120532717232913,0.0781880432519833,0.034887848643697,0.0186353181264809,0.00646190896147214,0.0364918779663976,7.5708425931625,1.47641113367872,0.190217008213945,0.269747040548443
"ZHX1.C8ORF76",0.088532420283878,0.376924856797663,0.0708032160470719,0.103289804505182,-0.00997468706389969,0.0430414490667406,0.344232224170086,-0.520251279488894,1.47548689073741,0.190549635449237,0.270195360389128
"LENG1",-0.0565976763680902,-0.129860046762123,-0.0923444773811681,-0.100615210300349,-0.185500171709907,-0.110795703545712,-0.120729006648664,2.68644149886715,1.47533009192552,0.190606116632537,0.270252067262796
"RP11.430H10.1",0.158852786236203,0.0336052675385708,-0.339033881948304,-0.212169505596942,-0.32286254645063,-0.342252534805521,-0.32250715982564,-1.19220127896796,1.47502534168607,0.19071593406636,0.27038438091813
"LOC493754",0.0611756336947731,0.0200893671451918,-0.0681272565286137,0.0312289382906665,0.00634766781529716,0.0356857319067747,-0.0529857820989768,3.67687549024379,1.47464669241257,0.190852458516519,0.270554531842162
"CACYBP",-0.0355848345752889,-0.0342923134463509,-0.000161346592290723,-0.0507435702383252,0.0477188003581355,0.0391721487002403,0.0675069157842199,4.41995566711273,1.47443342872505,0.190929389859464,0.270640180799754
"PFKM",0.020112402006792,-0.0569777262908435,-0.0390123248219221,-0.0858627160028591,-0.03121807139988,0.0627313133791252,0.0449462406414141,3.32873087342247,1.47405425414533,0.19106623798972,0.27081073894435
